"","X","ID","achievement","social","immersion","pre.score","pos.score","dif.score","scenario"
"P01",1,"P01",2.28571428571429,3.57142857142857,"lower",6,8,2,"gamified"
"P02",2,"P02",3.28571428571429,2.85714285714286,"lower",8,10,2,"gamified"
"P03",3,"P03",3.14285714285714,2.14285714285714,"upper",7,8,1,"gamified"
"P04",4,"P04",3.57142857142857,2.71428571428571,"upper",7,9,2,"gamified"
"P05",5,"P05",3.42857142857143,4,"upper",7,9,2,"gamified"
"P06",6,"P06",2.57142857142857,3.28571428571429,"lower",8,10,2,"gamified"
"P07",7,"P07",3,3.85714285714286,"lower",8,9,1,"gamified"
"P08",8,"P08",3,2.71428571428571,"upper",5,7,2,"gamified"
"P09",9,"P09",3.71428571428571,3.71428571428571,"upper",8,10,2,"gamified"
"P10",10,"P10",2.14285714285714,2,"lower",7,10,3,"gamified"
"P11",11,"P11",4.85714285714286,2,"upper",7,10,3,"gamified"
"P12",12,"P12",3.42857142857143,3.28571428571429,"lower",6,9,3,"gamified"
"P13",13,"P13",4,4,"upper",6,9,3,"gamified"
"P14",14,"P14",3,2.57142857142857,"lower",8,9,1,"gamified"
"P15",15,"P15",3.85714285714286,2.57142857142857,"upper",7,7,0,"non.gamified"
"P16",16,"P16",2.85714285714286,1.71428571428571,"lower",8,7,-1,"non.gamified"
"P17",17,"P17",4.14285714285714,3.57142857142857,"upper",6,8,2,"gamified"
"P19",18,"P19",3.57142857142857,2.14285714285714,"upper",7,7,0,"non.gamified"
"P20",19,"P20",3.57142857142857,1.28571428571429,"lower",7,8,1,"non.gamified"
"P21",20,"P21",2.71428571428571,2.14285714285714,"lower",6,6,0,"non.gamified"
"P22",21,"P22",1.71428571428571,2.14285714285714,"upper",8,8,0,"non.gamified"
"P23",22,"P23",3.14285714285714,2.28571428571429,"lower",6,6,0,"non.gamified"
"P26",23,"P26",2.71428571428571,2,"lower",7,7,0,"non.gamified"
"P27",24,"P27",4,3.85714285714286,"upper",4,5,1,"non.gamified"
"P28",25,"P28",2.42857142857143,2.42857142857143,"lower",8,8,0,"non.gamified"
"P29",26,"P29",3.85714285714286,4.85714285714286,"upper",6,6,0,"non.gamified"
"P30",27,"P30",3.28571428571429,1.85714285714286,"lower",8,8,0,"non.gamified"
"P31",28,"P31",4.28571428571429,3,"upper",5,7,2,"non.gamified"
"P32",29,"P32",2.57142857142857,2.42857142857143,"lower",7,8,1,"gamified"
